C2:1
C3:1
C4:1
D1:1
D2:1
F1:1
F2:1
G***:2
H1:1
H2:1
H3:1
H4:1
JP1:1
R1:1
R2:1
R3:1
R4:1
R5:1
R6:1
TP1:1
TP10:1
TP11:1
TP2:1
TP3:1
TP4:1
TP5:1
TP9:1
U1:1
